"businessentityid","nationalidnumber","departmentid","name","groupname","startdate"
1,"295847284",16,"Executive","Executive General and Administration","2009-01-14"
7,"134969118",6,"Research and Development","Research and Development","2009-02-08"
9,"658797903",6,"Research and Development","Research and Development","2009-01-16"
10,"879342154",6,"Research and Development","Research and Development","2009-05-03"
16,"24756624",4,"Marketing","Sales and Marketing","2009-07-15"
21,"243322160",4,"Marketing","Sales and Marketing","2009-03-02"
23,"767955365",4,"Marketing","Sales and Marketing","2009-01-12"
24,"72636981",4,"Marketing","Sales and Marketing","2009-01-18"
25,"519899904",7,"Production","Manufacturing","2009-02-03"
29,"948320468",7,"Production","Manufacturing","2009-01-23"
30,"410742000",7,"Production","Manufacturing","2009-01-29"
31,"750246141",7,"Production","Manufacturing","2009-01-04"
34,"754372876",7,"Production","Manufacturing","2009-02-16"
35,"999440576",7,"Production","Manufacturing","2009-02-08"
36,"788456780",7,"Production","Manufacturing","2009-02-10"
37,"442121106",7,"Production","Manufacturing","2009-03-07"
41,"458159238",7,"Production","Manufacturing","2009-01-21"
43,"693325305",7,"Production","Manufacturing","2009-01-02"
45,"500412746",7,"Production","Manufacturing","2009-02-26"
46,"66073987",7,"Production","Manufacturing","2009-02-08"
47,"33237992",7,"Production","Manufacturing","2009-02-22"
56,"652535724",7,"Production","Manufacturing","2009-02-05"
57,"10708100",7,"Production","Manufacturing","2009-02-23"
60,"827686041",7,"Production","Manufacturing","2009-01-11"
61,"92096924",7,"Production","Manufacturing","2009-01-18"
66,"834186596",7,"Production","Manufacturing","2009-12-22"
67,"63179277",7,"Production","Manufacturing","2009-03-05"
68,"537092325",7,"Production","Manufacturing","2009-12-03"
69,"752513276",7,"Production","Manufacturing","2009-02-15"
71,"578935259",7,"Production","Manufacturing","2009-02-15"
74,"420023788",7,"Production","Manufacturing","2009-01-07"
75,"363996959",7,"Production","Manufacturing","2009-01-26"
76,"227319668",7,"Production","Manufacturing","2009-02-12"
77,"301435199",7,"Production","Manufacturing","2009-03-03"
81,"413787783",7,"Production","Manufacturing","2009-12-29"
85,"1662732",7,"Production","Manufacturing","2009-12-11"
86,"769680433",7,"Production","Manufacturing","2009-01-05"
